file,page,row,col,index,width,height
base_001.png,1,1,1,1,411,677
base_002.png,1,1,2,2,411,677
base_003.png,1,1,3,3,411,677
base_004.png,1,1,4,4,411,677
base_005.png,1,2,1,5,411,677
base_006.png,1,2,2,6,411,677
base_007.png,1,2,3,7,411,677
base_008.png,1,2,4,8,411,677
base_009.png,1,3,1,9,411,677
base_010.png,1,3,2,10,411,677
base_011.png,1,3,3,11,411,677
base_012.png,1,3,4,12,411,677
base_013.png,1,4,1,13,411,677
base_014.png,1,4,2,14,411,677
base_015.png,1,4,3,15,411,677
base_016.png,1,4,4,16,411,677
base_017.png,3,1,1,1,411,677
base_018.png,3,1,2,2,411,677
base_019.png,3,1,3,3,411,677
base_020.png,3,1,4,4,411,677
base_021.png,3,2,1,5,411,677
base_022.png,3,2,2,6,411,677
base_023.png,3,2,3,7,411,677
base_024.png,3,2,4,8,411,677
base_025.png,3,3,1,9,411,677
base_026.png,3,3,2,10,411,677
base_027.png,3,3,3,11,411,677
base_028.png,3,3,4,12,411,677
base_029.png,3,4,1,13,411,677
base_030.png,3,4,2,14,411,677
base_031.png,3,4,3,15,411,677
base_032.png,3,4,4,16,411,677
base_033.png,5,1,1,1,411,677
base_034.png,5,1,2,2,411,677
base_035.png,5,1,3,3,411,677
base_036.png,5,1,4,4,411,677
base_037.png,5,2,1,5,411,677
base_038.png,5,2,2,6,411,677
base_039.png,5,2,3,7,411,677
base_040.png,5,2,4,8,411,677
base_041.png,5,3,1,9,411,677
base_042.png,5,3,2,10,411,677
base_043.png,5,3,3,11,411,677
base_044.png,5,3,4,12,411,677
base_045.png,5,4,1,13,411,677
base_046.png,5,4,2,14,411,677
base_047.png,5,4,3,15,411,677
base_048.png,5,4,4,16,411,677
base_049.png,7,1,1,1,411,677
base_050.png,7,1,2,2,411,677
base_051.png,7,1,3,3,411,677
base_052.png,7,1,4,4,411,677
base_053.png,7,2,1,5,411,677
base_054.png,7,2,2,6,411,677
base_055.png,7,2,3,7,411,677
base_056.png,7,2,4,8,411,677
base_057.png,7,3,1,9,411,677
base_058.png,7,3,2,10,411,677
base_059.png,7,3,3,11,411,677
base_060.png,7,3,4,12,411,677
base_061.png,7,4,1,13,411,677
base_062.png,7,4,2,14,411,677
base_063.png,7,4,3,15,411,677
base_064.png,7,4,4,16,411,677
base_065.png,9,1,1,1,411,677
base_066.png,9,1,2,2,411,677
base_067.png,9,1,3,3,411,677
base_068.png,9,1,4,4,411,677
base_069.png,9,2,1,5,411,677
base_070.png,9,2,2,6,411,677
base_071.png,9,2,3,7,411,677
base_072.png,9,2,4,8,411,677
base_073.png,9,3,1,9,411,677
base_074.png,9,3,2,10,411,677
base_075.png,9,3,3,11,411,677
base_076.png,9,3,4,12,411,677
base_077.png,9,4,1,13,411,677
base_078.png,9,4,2,14,411,677
base_079.png,9,4,3,15,411,677
base_080.png,9,4,4,16,411,677
base_081.png,11,1,1,1,411,677
base_082.png,11,1,2,2,411,677
base_083.png,11,1,3,3,411,677
base_084.png,11,1,4,4,411,677
base_085.png,11,2,1,5,411,677
base_086.png,11,2,2,6,411,677
base_087.png,11,2,3,7,411,677
base_088.png,11,2,4,8,411,677
base_089.png,11,3,1,9,411,677
base_090.png,11,3,2,10,411,677
base_091.png,11,3,3,11,411,677
base_092.png,11,3,4,12,411,677
base_093.png,11,4,1,13,411,677
base_094.png,11,4,2,14,411,677
base_095.png,11,4,3,15,411,677
