file,page,row,col,index,width,height
dunwich_001.png,13,1,1,1,411,677
dunwich_002.png,13,1,2,2,411,677
dunwich_003.png,13,1,3,3,411,677
dunwich_004.png,13,1,4,4,411,677
dunwich_005.png,13,2,1,5,411,677
dunwich_006.png,13,2,2,6,411,677
dunwich_007.png,13,2,3,7,411,677
dunwich_008.png,13,2,4,8,411,677
dunwich_009.png,13,3,1,9,411,677
dunwich_010.png,13,3,2,10,411,677
dunwich_011.png,13,3,3,11,411,677
dunwich_012.png,13,3,4,12,411,677
dunwich_013.png,13,4,1,13,411,677
dunwich_014.png,13,4,2,14,411,677
dunwich_015.png,13,4,3,15,411,677
dunwich_016.png,13,4,4,16,411,677
dunwich_017.png,15,1,1,1,411,677
dunwich_018.png,15,1,2,2,411,677
dunwich_019.png,15,1,3,3,411,677
dunwich_020.png,15,1,4,4,411,677
dunwich_021.png,15,2,1,5,411,677
dunwich_022.png,15,2,2,6,411,677
dunwich_023.png,15,2,3,7,411,677
dunwich_024.png,15,2,4,8,411,677
dunwich_025.png,15,3,1,9,411,677
dunwich_026.png,15,3,2,10,411,677
dunwich_027.png,15,3,3,11,411,677
dunwich_028.png,15,3,4,12,411,677
dunwich_029.png,15,4,1,13,411,677
dunwich_030.png,15,4,2,14,411,677
dunwich_031.png,15,4,3,15,411,677
