file,page,row,col,index,width,height
innsmouth_001.png,17,1,1,1,411,677
innsmouth_002.png,17,1,2,2,411,677
innsmouth_003.png,17,1,3,3,411,677
innsmouth_004.png,17,1,4,4,411,677
innsmouth_005.png,17,2,1,5,411,677
innsmouth_006.png,17,2,2,6,411,677
innsmouth_007.png,17,2,3,7,411,677
innsmouth_008.png,17,2,4,8,411,677
innsmouth_009.png,17,3,1,9,411,677
innsmouth_010.png,17,3,2,10,411,677
innsmouth_011.png,17,3,3,11,411,677
innsmouth_012.png,17,3,4,12,411,677
innsmouth_013.png,17,4,1,13,411,677
innsmouth_014.png,17,4,2,14,411,677
innsmouth_015.png,17,4,3,15,411,677
innsmouth_016.png,17,4,4,16,411,677
innsmouth_017.png,19,1,1,1,411,677
innsmouth_018.png,19,1,2,2,411,677
innsmouth_019.png,19,1,3,3,411,677
innsmouth_020.png,19,1,4,4,411,677
innsmouth_021.png,19,2,1,5,411,677
innsmouth_022.png,19,2,2,6,411,677
innsmouth_023.png,19,2,3,7,411,677
innsmouth_024.png,19,2,4,8,411,677
innsmouth_025.png,19,3,1,9,411,677
innsmouth_026.png,19,3,2,10,411,677
innsmouth_027.png,19,3,3,11,411,677
